회원번호,조합원상태,성별,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,연령대_30_50대,방문횟수,연령
223510656,1,0,1,0,0,60대이상,458811.0,수지구,신봉동,1,0,13,63.0
223673984,1,0,0,0,0,50대,3637.0,서울 송파구,기타,0,1,1,59.0
223696256,1,0,0,0,0,60대이상,1795356.0,수지구,신봉동,1,0,66,64.0
223961664,1,0,0,0,0,50대,32928.0,광주,오포읍,0,1,2,50.0
224004352,1,0,0,0,0,60대이상,1511625.0,수원 영통구,기타,1,0,39,61.0
224318016,1,0,0,0,0,40대,49774.0,기타,기타,0,1,4,46.0
224451648,1,0,0,1,0,50대,2044214.0,수지구,동천동,0,1,70,54.0
224511040,1,0,0,0,0,50대,665929.0,수지구,성복동,0,1,10,57.0
224932352,1,0,0,0,0,50대,29865.0,수지구,상현동,0,1,1,50.0
224934208,1,0,0,0,0,60대이상,210585.0,수지구,상현동,1,0,8,64.0
225312832,1,0,1,0,0,60대이상,803378.0,기흥구,보정동,1,0,21,70.0
225452032,1,0,0,0,0,50대,217764.0,수지구,성복동,0,1,18,54.0
225609792,1,0,0,0,0,40대,46904.0,수지구,풍덕천동,0,1,3,49.0
225650624,1,0,0,0,0,40대,122713.0,수지구,풍덕천동,0,1,9,43.0
225841792,1,0,1,0,0,50대,467402.0,수지구,동천동,0,1,21,55.0
225875200,1,0,0,0,0,40대,41064.0,기타,기타,0,1,7,41.0
226073792,1,0,0,0,0,60대이상,72555.0,수지구,신봉동,1,0,9,64.0
226161024,1,0,0,0,0,50대,29100.0,수지구,풍덕천동,0,1,2,58.0
226315072,1,0,1,0,0,40대,553835.0,수지구,풍덕천동,0,1,17,46.0
226638016,1,0,0,0,0,40대,387638.0,수지구,상현동,0,1,21,45.0
226725248,1,0,0,0,0,40대,299699.0,수지구,풍덕천동,0,1,21,49.0
226753088,1,0,0,0,0,40대,146453.0,수지구,풍덕천동,0,1,1,45.0
226756800,1,0,0,0,0,50대,24887.0,수지구,성복동,0,1,1,58.0
