회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장
1014539712,1,0,65.0,0,1,0,60대,156983.0,수지구,풍덕천동,1,10,1,매장A
1014729024,1,0,70.0,0,0,0,70대이상,128555.0,수지구,동천동,1,11,0,매장A
1014857088,1,0,60.0,0,0,0,60대,197758.0,수지구,신봉동,1,13,1,매장C
1014864512,1,0,78.0,0,0,0,70대이상,78397.0,수지구,신봉동,1,5,0,매장D
1014870080,1,0,37.0,0,0,0,30대,12827.0,수지구,신봉동,0,1,0,매장C
1014884928,1,0,35.0,0,0,0,30대,37523.0,수지구,풍덕천동,0,6,0,매장C
1014920192,1,0,39.0,0,0,0,30대,173849.0,수지구,풍덕천동,0,10,0,매장C
1014948032,1,0,63.0,0,0,0,60대,31109.0,수지구,풍덕천동,1,3,1,매장C
1014981440,1,0,37.0,0,0,0,30대,80790.0,수지구,풍덕천동,0,11,0,매장C
1015011136,1,0,29.0,1,0,0,20대이하,596776.0,수지구,풍덕천동,0,35,0,매장C
1015194880,1,0,62.0,0,0,0,60대,57241.0,수지구,풍덕천동,1,4,1,매장A
1015235712,1,0,36.0,0,0,0,30대,39054.0,수지구,풍덕천동,0,3,0,매장A
1015246848,1,0,43.0,1,0,0,40대,531744.0,수지구,풍덕천동,0,31,1,매장C
1015321088,1,0,46.0,0,0,0,40대,49009.0,수지구,동천동,0,4,1,매장A
1015356352,1,0,48.0,0,0,0,40대,2489.0,수지구,동천동,0,1,1,매장A
1015358208,1,0,49.0,0,0,0,40대,208480.0,수지구,동천동,0,9,1,매장A
1015449152,1,0,67.0,0,0,0,60대,146645.0,기흥구,보정동,1,8,1,매장B
1015495552,1,0,52.0,0,0,0,50대,81555.0,수지구,동천동,0,7,1,매장A
1015502976,1,0,48.0,0,0,0,40대,135349.0,수지구,동천동,0,14,1,매장A
1015517824,1,1,48.0,0,0,0,40대,14550.0,기타,기타,0,1,1,매장A
1015525248,1,0,49.0,0,0,0,40대,3542.0,기타,기타,0,1,1,매장B
101554752,1,0,42.0,0,0,0,40대,23356.0,기타,기타,0,2,1,매장A
1015562368,1,0,54.0,0,0,0,50대,14167.0,수지구,동천동,0,1,1,매장A
1015614336,1,0,40.0,0,0,0,40대,36374.0,기타,기타,0,1,1,매장C
1015683008,1,0,36.0,0,0,0,30대,101559.0,수지구,풍덕천동,0,7,0,매장B
1015762816,1,0,38.0,0,0,0,30대,81075.0,분당구,삼평동,0,4,0,매장A
1015902016,1,0,48.0,0,0,0,40대,59251.0,수지구,동천동,0,4,1,매장A
1015935424,1,0,36.0,0,0,0,30대,83085.0,수지구,신봉동,0,3,0,매장D
1015959552,1,0,73.0,0,0,0,70대이상,4977.0,수지구,동천동,1,1,0,매장A
1015985536,1,0,61.0,0,0,0,60대,47764.0,수지구,상현동,1,8,1,매장B
1016044928,1,0,52.0,0,0,0,50대,29482.0,수지구,신봉동,0,1,1,매장D
1016210112,1,0,43.0,0,0,0,40대,132312.0,서울 강남구,기타,0,10,1,매장C
1016492224,1,0,37.0,0,0,0,30대,246815.0,수지구,풍덕천동,0,29,0,매장C
1016655552,1,0,48.0,0,0,0,40대,396849.0,수지구,풍덕천동,0,37,1,매장C
1016726080,1,0,52.0,0,0,0,50대,414472.0,수지구,동천동,0,42,1,매장A
1016844864,1,0,50.0,0,0,0,50대,14166.0,수지구,풍덕천동,0,2,1,매장C
1016874560,1,0,49.0,0,0,0,40대,5743.0,수지구,동천동,0,1,1,매장A
1017073152,1,0,60.0,0,0,0,60대,187824.0,수원 영통구,기타,1,6,1,매장C
1017086144,1,0,37.0,0,0,0,30대,1260664.0,수지구,풍덕천동,0,47,0,매장C
1017423936,1,0,77.0,0,0,0,70대이상,11103.0,서울 강남구,기타,1,1,0,매장A
1017498176,1,0,53.0,0,0,0,50대,22782.0,수지구,풍덕천동,0,1,1,매장C
1017553856,1,0,41.0,0,0,0,40대,16464.0,수원 팔달구,기타,0,3,1,매장C
101760768,1,0,64.0,1,0,0,60대,470662.0,수지구,상현동,1,23,1,매장B
1017620672,1,0,47.0,0,0,0,40대,60017.0,수지구,상현동,0,4,1,매장B
1017633664,1,0,53.0,0,0,0,50대,178519.0,수지구,상현동,0,11,1,매장B
1017680064,1,0,47.0,0,0,0,40대,3829.0,수지구,동천동,0,1,1,매장A
1017685632,1,0,58.0,0,0,0,50대,66622.0,수지구,동천동,0,1,1,매장A
1017912064,1,0,40.0,0,0,0,40대,932767.0,수지구,풍덕천동,0,41,1,매장C
1017975168,1,0,48.0,0,0,0,40대,12826.0,수지구,상현동,0,1,1,매장B
1018008576,1,1,51.0,0,0,0,50대,93137.0,수지구,풍덕천동,0,3,1,매장C
1018218304,1,0,63.0,0,0,0,60대,208768.0,기타,기타,1,10,1,매장A
1018381632,1,0,43.0,0,0,0,40대,49506.0,수지구,상현동,0,4,1,매장B
1018557952,1,0,45.0,0,0,0,40대,10912.0,기타,기타,0,1,1,매장B
1018583936,1,1,44.0,0,0,0,40대,42882.0,수지구,상현동,0,2,1,매장C
1018615488,1,0,38.0,1,0,0,30대,608207.0,수지구,신봉동,0,15,0,매장D
1018630336,1,0,39.0,0,0,0,30대,34268.0,수지구,신봉동,0,3,0,매장B
1018734272,0,0,51.0,0,0,0,50대,19527.0,수지구,동천동,0,1,1,매장A
1018997824,1,0,41.0,0,0,0,40대,75524.0,수지구,동천동,0,4,1,매장A
1019151872,1,0,42.0,0,1,0,40대,1954777.0,수지구,동천동,0,68,1,매장A
1019185280,1,0,43.0,0,0,0,40대,107014.0,수지구,상현동,0,3,1,매장B
1019259520,1,0,62.0,0,0,0,60대,26036.0,수지구,상현동,1,1,1,매장B
1019318912,1,0,40.0,0,0,0,40대,209534.0,기흥구,마북동,0,14,1,매장A
1019435840,1,0,58.0,0,0,0,50대,286932.0,수지구,동천동,0,18,1,매장D
1019446976,1,0,47.0,0,0,0,40대,216138.0,수지구,상현동,0,14,1,매장B
101946368,1,0,46.0,0,0,0,40대,26802.0,수지구,죽전동,0,1,1,매장C
1019582464,1,0,50.0,0,0,0,50대,3159.0,수지구,죽전동,0,1,1,매장C
1019597312,1,0,38.0,0,0,0,30대,383363.0,수지구,동천동,0,23,0,매장C
1019647424,1,0,54.0,0,1,1,50대,3027770.0,수지구,동천동,0,135,1,매장A
1019649280,1,0,42.0,0,0,0,40대,7179.0,수지구,동천동,0,1,1,매장A
1019884992,1,0,42.0,0,0,0,40대,66525.0,수지구,풍덕천동,0,3,1,매장B
1019894272,1,0,36.0,0,0,0,30대,181486.0,광주,오포읍,0,13,0,매장D
1020024192,1,0,72.0,1,0,0,70대이상,635110.0,수지구,동천동,1,27,0,매장A
1020070592,1,0,42.0,0,0,0,40대,44987.0,기타,기타,0,5,1,매장C
1020172672,1,0,48.0,0,0,0,40대,122714.0,수지구,동천동,0,13,1,매장A
1020189376,1,0,48.0,0,0,0,40대,35800.0,수지구,신봉동,0,3,1,매장D
1020361984,1,0,42.0,0,0,0,40대,248776.0,수지구,동천동,0,18,1,매장A
1020373120,1,0,45.0,0,0,0,40대,326407.0,수지구,풍덕천동,0,12,1,매장A
1020384256,1,0,40.0,0,0,0,40대,378864.0,기타,기타,0,23,1,매장A
1020462208,1,0,52.0,0,0,0,50대,52263.0,수지구,동천동,0,4,1,매장A
1021475584,1,0,57.0,0,0,0,50대,38288.0,기타,기타,0,1,1,매장A
1021718720,1,0,59.0,0,0,0,50대,8806.0,기타,기타,0,1,1,매장B
1021731712,1,0,56.0,0,0,0,50대,10338.0,기타,기타,0,1,1,매장B
102178368,1,0,43.0,0,0,0,40대,7370.0,수지구,풍덕천동,0,1,1,매장C
1021813376,1,0,55.0,0,0,0,50대,10721.0,기타,기타,0,1,1,매장C
1022654144,1,0,57.0,0,0,0,50대,43840.0,수지구,성복동,0,1,1,매장D
1023006784,1,0,39.0,0,0,0,30대,8423.0,수지구,상현동,0,1,0,매장B
1023025344,1,0,67.0,0,0,0,60대,43074.0,수지구,동천동,1,4,1,매장A
1023027200,1,0,45.0,0,0,0,40대,26036.0,수지구,동천동,0,3,1,매장A
1023108864,1,0,36.0,0,1,0,30대,555131.0,수지구,풍덕천동,0,56,0,매장C
1023140416,1,0,47.0,0,0,0,40대,24696.0,수지구,풍덕천동,0,2,1,매장B
1023218368,1,0,47.0,0,0,0,40대,51498.0,수지구,상현동,0,2,1,매장B
102328704,1,1,44.0,0,0,0,40대,47860.0,기타,기타,0,1,1,매장C
1023609984,1,0,40.0,0,0,0,40대,9955.0,수지구,동천동,0,1,1,매장A
1023613696,1,0,49.0,0,0,0,40대,107684.0,수지구,동천동,0,7,1,매장A
1023877248,1,0,35.0,0,0,0,30대,3829.0,서울 송파구,기타,0,1,0,매장A
1024036864,1,0,60.0,0,0,0,60대,115248.0,수지구,동천동,1,6,1,매장A
1024111104,1,0,49.0,0,0,0,40대,12444.0,수지구,상현동,0,1,1,매장B
1024185344,1,0,64.0,0,0,0,60대,26036.0,수지구,상현동,1,1,1,매장B
1024207616,1,0,57.0,0,0,0,50대,135542.0,기타,기타,0,7,1,매장D
1024281856,1,0,39.0,1,0,0,30대,636832.0,수지구,동천동,0,35,0,매장A
1024437760,1,0,38.0,0,0,0,30대,79256.0,서울 송파구,기타,0,4,0,매장A
1024471168,1,0,41.0,0,0,0,40대,5360.0,수지구,동천동,0,1,1,매장A
1024500864,1,0,45.0,0,1,0,40대,1744182.0,수지구,풍덕천동,0,79,1,매장C
1024532416,1,0,43.0,0,0,0,40대,175838.0,수지구,신봉동,0,7,1,매장D
1024565824,1,0,57.0,0,0,0,50대,14070.0,수지구,동천동,0,1,1,매장A
1024695744,1,0,36.0,0,0,0,30대,45084.0,분당구,구미동,0,5,0,매장D
1024703168,1,0,36.0,0,0,0,30대,69875.0,기타,기타,0,5,0,매장A
1024706880,1,0,38.0,0,1,0,30대,874657.0,수지구,풍덕천동,0,59,0,매장C
1024710592,1,0,47.0,0,0,0,40대,11486.0,수지구,성복동,0,1,1,매장B
1024729152,1,0,74.0,1,0,0,70대이상,415620.0,수지구,동천동,1,17,0,매장A
1024911040,1,0,43.0,0,1,0,40대,9572.0,수지구,신봉동,0,1,1,매장D
1025014976,1,0,43.0,0,1,0,40대,6126.0,기타,기타,0,1,1,매장A
1025100352,1,0,42.0,0,0,0,40대,18379.0,기타,기타,0,1,1,매장C
1025156032,1,0,39.0,0,0,0,30대,143581.0,수지구,상현동,0,1,0,매장B
1025189440,1,0,53.0,0,0,0,50대,129797.0,수지구,상현동,0,3,1,매장B
1025295232,1,0,37.0,0,0,0,30대,35225.0,수원 팔달구,기타,0,3,0,매장B
1025464128,1,0,74.0,0,0,0,70대이상,404804.0,수지구,신봉동,1,25,0,매장C
1025506816,1,0,58.0,0,0,0,50대,83073.0,수지구,성복동,0,4,1,매장C
102560704,1,0,52.0,0,0,0,50대,265817.0,수지구,풍덕천동,0,22,1,매장C
1025699840,1,0,48.0,0,0,0,40대,10338.0,수지구,신봉동,0,1,1,매장D
1025809344,1,0,48.0,0,0,0,40대,31780.0,수지구,상현동,0,3,1,매장B
1025878016,1,0,45.0,0,0,0,40대,33119.0,기타,기타,0,3,1,매장A
1026117440,1,0,74.0,0,0,0,70대이상,24696.0,수지구,동천동,1,1,0,매장A
1026139712,1,0,43.0,0,0,0,40대,21442.0,수지구,동천동,0,2,1,매장A
1026202816,1,0,37.0,1,0,0,30대,466033.0,수지구,성복동,0,17,0,매장C
1026275200,1,0,54.0,0,0,0,50대,57432.0,수지구,동천동,0,5,1,매장A
1026351296,1,0,47.0,0,0,0,40대,11391.0,수지구,동천동,0,2,1,매장A
1026403264,1,0,43.0,0,0,0,40대,139369.0,수지구,신봉동,0,5,1,매장D
1026546176,1,0,35.0,0,0,0,30대,414470.0,수원 영통구,기타,0,19,0,매장A
1026590720,1,0,39.0,0,0,0,30대,45138.0,수지구,풍덕천동,0,2,0,매장C
1026698368,1,0,49.0,0,0,0,40대,20006.0,수지구,성복동,0,2,1,매장D
1026819008,1,0,56.0,0,0,0,50대,71025.0,수지구,동천동,0,2,1,매장A
1026846848,1,0,66.0,0,0,0,60대,223795.0,수지구,동천동,1,7,1,매장A
1027136384,1,0,39.0,0,0,0,30대,98591.0,서울 강남구,기타,0,10,0,매장C
1027277440,1,0,44.0,0,0,0,40대,23930.0,수지구,신봉동,0,2,1,매장B
1027535424,1,0,43.0,0,0,0,40대,30056.0,수지구,동천동,0,3,1,매장A
1027546560,1,0,53.0,0,0,0,50대,10146.0,수지구,풍덕천동,0,1,1,매장C
1027607808,1,0,39.0,0,0,0,30대,65090.0,기타,기타,0,5,0,매장D
1027657920,1,0,49.0,0,0,0,40대,288978.0,수지구,죽전동,0,5,1,매장C
1027696896,1,0,41.0,0,0,0,40대,34652.0,수지구,성복동,0,4,1,매장D
1027758144,1,0,54.0,0,0,0,50대,56283.0,수지구,동천동,0,3,1,매장A
1027806400,1,0,41.0,0,0,0,40대,53508.0,수지구,풍덕천동,0,4,1,매장A
1027817536,1,0,71.0,0,0,0,70대이상,95241.0,수지구,성복동,1,9,0,매장D
1027990144,1,0,43.0,0,0,0,40대,101793.0,수지구,풍덕천동,0,5,1,매장C
1027992000,1,0,67.0,0,0,0,60대,100698.0,수지구,동천동,1,3,1,매장A
1028053248,1,0,44.0,0,0,0,40대,63559.0,수지구,신봉동,0,3,1,매장C
1028092224,1,0,39.0,0,1,0,30대,2612732.0,수지구,동천동,0,66,0,매장A
1028131200,1,0,38.0,0,0,0,30대,216905.0,수지구,동천동,0,9,0,매장A
1028144192,1,0,36.0,0,0,0,30대,23452.0,수지구,풍덕천동,0,3,0,매장C
1028175744,1,0,55.0,0,1,0,50대,965050.0,수지구,상현동,0,67,1,매장B
1028244416,1,0,38.0,0,0,0,30대,158895.0,기흥구,마북동,0,3,0,매장B
1028268544,1,0,41.0,0,0,0,40대,179284.0,화성,기타,0,14,1,매장C
1028272256,1,1,52.0,0,0,0,50대,114635.0,기타,기타,0,2,1,매장A
1028298240,1,0,48.0,0,0,0,40대,2680.0,분당구,수내동,0,1,1,매장C
1028376192,1,0,40.0,0,0,0,40대,35417.0,수지구,풍덕천동,0,2,1,매장C
1028496832,1,0,35.0,0,0,0,30대,52646.0,기흥구,보정동,0,1,0,매장A
1028782656,1,1,40.0,0,0,0,40대,315818.0,수지구,상현동,0,10,1,매장B
1028825344,1,0,49.0,0,0,0,40대,106634.0,수지구,풍덕천동,0,9,1,매장A
1028957120,1,0,55.0,0,0,0,50대,193068.0,수지구,신봉동,0,16,1,매장D
1028960832,1,0,55.0,0,0,0,50대,92563.0,수지구,동천동,0,10,1,매장A
1029005376,1,0,50.0,0,0,0,50대,256245.0,수지구,풍덕천동,0,14,1,매장B
1029083328,1,0,33.0,0,0,0,30대,13593.0,분당구,정자동,0,1,0,매장C
