회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장,간식,건강,과실,기타,반찬,생활용품,서류,수산,양념/가루,음료,잡곡,주곡,주류,채소,축산물,주말,평일,1회당평균구매물품수
592888064,1,0,79.0,0,0,0,70대이상,196419.0,분당구,중동,1,3,0,매장B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.25,0.0,0.125,0.0,0.0,1.0,2.6666666666666665
593068096,1,0,63.0,1,0,0,60대,454386.0,수지구,신봉동,1,11,1,매장D,0.16666666666666666,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1388888888888889,0.027777777777777776,0.0,0.0,0.05555555555555555,0.2727272727272727,0.7272727272727273,3.272727272727273
593095936,1,0,41.0,0,0,0,40대,9955.0,기흥구,보정동,0,1,1,매장A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
593164608,1,0,59.0,0,0,0,50대,36182.0,수지구,신봉동,0,3,1,매장D,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,1.3333333333333333
593374336,1,0,52.0,0,1,0,50대,2541488.0,수지구,성복동,0,58,1,매장D,0.19305019305019305,0.003861003861003861,0.011583011583011582,0.0,0.13513513513513514,0.03088803088803089,0.019305019305019305,0.08108108108108109,0.06177606177606178,0.0694980694980695,0.011583011583011582,0.04247104247104247,0.011583011583011582,0.2471042471042471,0.08108108108108109,0.4137931034482759,0.5862068965517242,4.465517241379311
593519104,1,0,39.0,0,0,0,30대,56859.0,수원 영통구,기타,0,1,0,매장B,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.0,1.0,0.0,8.0
593526528,1,0,45.0,0,0,0,40대,143389.0,수지구,신봉동,0,2,1,매장D,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
593665728,1,0,42.0,0,0,0,40대,49009.0,수지구,풍덕천동,0,6,1,매장C,0.0,0.0,0.0,0.07142857142857142,0.6428571428571429,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.333333333333333
593777088,1,0,62.0,0,0,0,60대,408047.0,수지구,풍덕천동,1,24,1,매장C,0.18561484918793503,0.002320185614849188,0.0,0.0,0.02320185614849188,0.0,0.0,0.02320185614849188,0.04640371229698376,0.02320185614849188,0.0,0.0,0.0,0.27842227378190254,0.4176334106728538,0.20833333333333331,0.7916666666666666,1.7958333333333334
593855040,1,0,78.0,0,0,0,70대이상,167031.0,수지구,신봉동,1,10,0,매장D,0.6111111111111112,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.5,1.8
593940416,1,0,43.0,0,0,0,40대,398006.0,수지구,동천동,0,12,1,매장A,0.16129032258064516,0.0,0.0,0.0,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.22580645161290322,0.0,0.0,0.03225806451612903,0.06451612903225806,0.1935483870967742,0.16666666666666666,0.8333333333333334,2.583333333333333
594211392,1,0,39.0,0,0,0,30대,270028.0,수지구,성복동,0,11,0,매장D,0.17857142857142858,0.07142857142857142,0.03571428571428571,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.0,0.17857142857142858,0.21428571428571427,0.09090909090909091,0.9090909090909092,2.5454545454545454
594628992,1,0,39.0,0,0,0,30대,6126.0,수지구,상현동,0,1,0,매장C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
594638272,1,0,57.0,0,0,0,50대,8998.0,분당구,정자동,0,1,1,매장B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
594658688,1,0,63.0,0,0,0,60대,241885.0,수지구,성복동,1,10,1,매장D,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.68,0.08,0.30000000000000004,0.7,2.5
594745920,1,1,39.0,1,0,0,30대,351297.0,수지구,성복동,0,14,0,매장D,0.1,0.0,0.0,0.03333333333333333,0.1,0.36666666666666664,0.0,0.1,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.16666666666666666,0.4285714285714286,0.5714285714285714,2.142857142857143
595018752,1,0,43.0,0,0,0,40대,2872.0,수지구,신봉동,0,1,1,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
595057728,1,0,39.0,0,0,0,30대,49679.0,수지구,신봉동,0,3,0,매장D,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,1.0,1.3333333333333333
595068864,1,0,53.0,0,0,0,50대,654924.0,수지구,신봉동,0,11,1,매장D,0.030612244897959183,0.0,0.030612244897959183,0.0,0.04081632653061224,0.0,0.01020408163265306,0.02040816326530612,0.8367346938775511,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.09090909090909091,0.9090909090909091,8.909090909090908
59516352,1,0,48.0,0,0,0,40대,263041.0,수지구,풍덕천동,0,10,1,매장C,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.3888888888888889,0.30000000000000004,0.7,1.8
595408512,1,0,64.0,0,0,0,60대,198717.0,수지구,신봉동,1,8,1,매장D,0.16666666666666666,0.16666666666666666,0.25,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.375,0.625,1.5
595477184,1,0,50.0,0,0,0,50대,187900.0,분당구,정자동,0,14,1,매장C,0.47761194029850745,0.0,0.1044776119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.26865671641791045,0.0,0.0,0.0,0.08955223880597014,0.05970149253731343,0.2857142857142857,0.7142857142857143,2.392857142857143
595551424,1,0,59.0,0,0,0,50대,587978.0,기타,기타,0,41,1,매장C,0.044444444444444446,0.0,0.011111111111111112,0.0,0.26666666666666666,0.0,0.05555555555555555,0.03333333333333333,0.022222222222222223,0.03333333333333333,0.022222222222222223,0.0,0.0,0.43333333333333335,0.07777777777777778,0.3902439024390244,0.6097560975609756,2.1951219512195124
595560704,1,0,57.0,0,0,0,50대,4786.0,수지구,풍덕천동,0,2,1,매장C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.5
595575552,1,0,54.0,0,0,0,50대,338086.0,수지구,신봉동,0,8,1,매장D,0.2857142857142857,0.047619047619047616,0.0,0.0,0.19047619047619047,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.09523809523809523,0.125,0.875,2.625
595597824,1,0,29.0,0,0,0,20대이하,973265.0,수지구,신봉동,0,44,0,매장D,0.13793103448275862,0.0,0.008620689655172414,0.0,0.06896551724137931,0.008620689655172414,0.008620689655172414,0.04310344827586207,0.10344827586206896,0.0,0.05172413793103448,0.05172413793103448,0.0,0.45689655172413796,0.0603448275862069,0.3863636363636364,0.6136363636363636,2.636363636363636
