,회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,1회당평균구매물품수
3302,1480469952,1,0,52.0,1,0,0,50대,715753.0,수지구,풍덕천동,0,31,1,2.7451612903225806
3303,1480796608,1,0,43.0,0,0,0,40대,22973.0,수지구,풍덕천동,0,2,1,1.0
3304,1480872704,1,0,46.0,1,0,0,40대,680763.0,수지구,풍덕천동,0,21,1,3.738095238095238
3305,1481052736,1,0,52.0,0,0,0,50대,11104.0,수지구,상현동,0,1,1,0.0
3306,1481100992,1,0,47.0,0,1,0,40대,549748.0,수지구,풍덕천동,0,43,1,1.6744186046511629
3307,1481138112,1,0,46.0,0,0,0,40대,206947.0,기흥구,보정동,0,14,1,1.7857142857142858
3308,1481191936,1,0,33.0,0,0,0,30대,125489.0,수지구,상현동,0,9,0,2.7777777777777777
3309,1481540864,1,0,37.0,0,0,0,30대,74280.0,수지구,성복동,0,6,0,2.8333333333333335
3310,1481707904,1,0,40.0,0,0,0,40대,35608.0,분당구,정자동,0,3,1,1.0
3311,1481711616,1,0,42.0,0,0,0,40대,77440.0,수지구,풍덕천동,0,10,1,1.3
3312,1481726464,1,0,40.0,0,0,0,40대,17612.0,수지구,동천동,0,1,1,5.0
3313,148177472,0,0,47.0,0,0,0,40대,188978.0,수지구,풍덕천동,0,9,1,1.788888888888889
3314,1481798848,1,0,38.0,0,0,0,30대,7083.0,기타,기타,0,2,0,1.0
3315,1481952896,1,0,44.0,0,0,0,40대,88254.0,기타,기타,0,2,1,3.5
3316,1482140352,1,0,37.0,0,0,0,30대,86245.0,수지구,상현동,0,4,0,1.5
3317,1482229440,1,0,49.0,0,1,0,40대,540250.0,수지구,상현동,0,45,1,1.4688888888888887
3318,1482314816,1,0,77.0,1,0,0,70대이상,622303.0,수지구,풍덕천동,1,25,0,2.72
3319,1482606208,1,0,70.0,0,0,0,70대이상,220825.0,수지구,상현동,1,20,0,1.3
3320,1482706432,1,0,44.0,0,0,0,40대,330102.0,수지구,신봉동,0,10,1,1.8
3321,1483090624,1,0,35.0,0,0,0,30대,23548.0,수지구,상현동,0,4,0,1.25
3322,1483137024,1,0,42.0,1,0,0,40대,397912.0,수원 영통구,기타,0,16,1,2.40625
3323,1483300352,1,0,34.0,0,0,0,30대,7083.0,수지구,죽전동,0,1,0,1.0
3324,1483370880,1,0,45.0,0,0,0,40대,312920.0,수지구,신봉동,0,8,1,3.45
3325,1483387584,1,0,37.0,0,0,0,30대,22878.0,기타,기타,0,1,0,4.0
3326,1483517504,1,0,35.0,0,0,0,30대,8806.0,수지구,성복동,0,1,0,1.0
3327,1483717952,1,0,59.0,0,1,0,50대,23547.0,수지구,풍덕천동,0,1,1,2.0
3328,1483966656,1,0,45.0,0,0,0,40대,23547.0,수지구,풍덕천동,0,2,1,1.0
3329,148424320,1,0,66.0,0,0,0,60대,3044659.0,수지구,성복동,1,49,1,3.1020408163265305
3330,1484354560,1,0,61.0,0,0,0,60대,15124.0,수지구,동천동,1,3,1,0.6666666666666666
